ticker,rf_status,rf_seconds,rf_error,xgb_status,xgb_seconds,xgb_error
A,success,0.47,,success,0.24,
AAPL,success,0.48,,success,0.13,
ABBV,success,0.46,,success,0.14,
ABNB,success,0.44,,success,0.13,
ABT,success,0.45,,success,0.13,
ACGL,success,0.44,,success,0.13,
ACN,success,0.45,,success,0.14,
ADBE,success,0.44,,success,0.15,
ADI,success,0.45,,success,0.13,
ADM,success,0.46,,success,0.13,
ADP,success,0.45,,success,0.13,
ADSK,success,0.46,,success,0.14,
AEE,success,0.45,,success,0.13,
AEP,success,0.47,,success,0.12,
AES,success,0.45,,success,0.12,
AFL,success,0.46,,success,0.13,
AIG,success,0.49,,success,0.12,
AIZ,success,0.46,,success,0.13,
AJG,success,0.53,,success,0.17,
AKAM,success,0.51,,success,0.16,
ALB,success,0.46,,success,0.14,
ALGN,success,0.45,,success,0.12,
ALL,success,0.46,,success,0.14,
ALLE,success,0.45,,success,0.12,
AMAT,success,0.45,,success,0.13,
AMCR,success,0.46,,success,0.13,
AMD,success,0.46,,success,0.17,
AME,success,0.46,,success,0.14,
AMGN,success,0.48,,success,0.13,
AMP,success,0.47,,success,0.15,
AMT,success,0.45,,success,0.12,
AMZN,success,0.48,,success,0.14,
ANET,success,0.43,,success,0.17,
AON,success,0.49,,success,0.2,
AOS,success,0.47,,success,0.16,
APA,success,0.5,,success,0.14,
APD,success,0.46,,success,0.12,
APH,success,0.44,,success,0.13,
APO,success,0.45,,success,0.12,
APP,success,0.42,,success,0.13,
APTV,success,0.45,,success,0.14,
ARE,success,0.45,,success,0.13,
ARES,success,0.43,,success,0.12,
ATO,success,0.44,,success,0.12,
AVB,success,0.44,,success,0.15,
AVGO,success,0.45,,success,0.12,
AVY,success,0.45,,success,0.12,
AWK,success,0.44,,success,0.12,
AXON,success,0.46,,success,0.14,
AXP,success,0.45,,success,0.14,
AZO,success,0.46,,success,0.14,
BA,success,0.46,,success,0.18,
BAC,success,0.46,,success,0.13,
BALL,success,0.47,,success,0.13,
BAX,success,0.46,,success,0.13,
BBY,success,0.43,,success,0.13,
BDX,success,0.45,,success,0.13,
BEN,success,0.44,,success,0.15,
BF.B,success,0.42,,success,0.13,
BG,success,0.43,,success,0.12,
BIIB,success,0.43,,success,0.11,
BK,success,0.45,,success,0.13,
BKNG,success,0.45,,success,0.13,
BKR,success,0.46,,success,0.14,
BLDR,success,0.47,,success,0.13,
BLK,success,0.5,,success,0.13,
BMY,success,0.47,,success,0.14,
BR,success,0.48,,success,0.15,
BRK.B,success,0.46,,success,0.12,
BRO,success,0.45,,success,0.13,
BSX,success,0.48,,success,0.15,
BX,success,0.46,,success,0.16,
BXP,success,0.45,,success,0.13,
C,success,0.46,,success,0.13,
CAG,success,0.45,,success,0.13,
CAH,success,0.46,,success,0.13,
CARR,success,0.48,,success,0.12,
CAT,success,0.45,,success,0.12,
CB,success,0.45,,success,0.13,
CBOE,success,0.48,,success,0.13,
CBRE,success,0.44,,success,0.12,
CCI,success,0.47,,success,0.12,
CCL,success,0.44,,success,0.13,
CDNS,success,0.45,,success,0.13,
CDW,success,0.48,,success,0.12,
CEG,success,0.42,,success,0.13,
CF,success,0.44,,success,0.12,
CFG,success,0.46,,success,0.12,
CHD,success,0.45,,success,0.14,
CHRW,success,0.46,,success,0.12,
CHTR,success,0.46,,success,0.16,
CI,success,0.49,,success,0.14,
CINF,success,0.45,,success,0.14,
CL,success,0.44,,success,0.13,
CLX,success,0.44,,success,0.12,
CMCSA,success,0.45,,success,0.12,
CME,success,0.46,,success,0.12,
CMG,success,0.44,,success,0.13,
CMI,success,0.45,,success,0.12,
CMS,success,0.46,,success,0.14,
CNC,success,0.47,,success,0.12,
CNP,success,0.45,,success,0.12,
COF,success,0.44,,success,0.14,
COIN,success,0.44,,success,0.13,
COO,success,0.45,,success,0.13,
COP,success,0.46,,success,0.12,
COR,success,0.46,,success,0.13,
COST,success,0.49,,success,0.14,
CPAY,success,0.46,,success,0.12,
CPB,success,0.45,,success,0.15,
CPRT,success,0.46,,success,0.13,
CPT,success,0.45,,success,0.12,
CRH,success,0.46,,success,0.15,
CRL,success,0.45,,success,0.13,
CRM,success,0.46,,success,0.12,
CRWD,success,0.46,,success,0.13,
CSCO,success,0.44,,success,0.12,
CSGP,success,0.45,,success,0.12,
CSX,success,0.45,,success,0.15,
CTAS,success,0.45,,success,0.13,
CTRA,success,0.44,,success,0.13,
CTSH,success,0.47,,success,0.13,
CTVA,success,0.45,,success,0.13,
CVNA,success,0.45,,success,0.12,
CVS,success,0.47,,success,0.13,
CVX,success,0.45,,success,0.12,
D,success,0.44,,success,0.12,
DAL,success,0.43,,success,0.13,
DASH,success,0.46,,success,0.13,
DD,success,0.45,,success,0.13,
DDOG,success,0.48,,success,0.12,
DE,success,0.45,,success,0.12,
DECK,success,0.46,,success,0.13,
DELL,success,0.46,,success,0.13,
DG,success,0.46,,success,0.13,
DGX,success,0.44,,success,0.13,
DHI,success,0.45,,success,0.13,
DHR,success,0.45,,success,0.12,
DIS,success,0.45,,success,0.13,
DLR,success,0.45,,success,0.13,
DLTR,success,0.47,,success,0.13,
DOC,success,0.46,,success,0.12,
DOV,success,0.46,,success,0.14,
DOW,success,0.45,,success,0.13,
DPZ,success,0.45,,success,0.12,
DRI,success,0.46,,success,0.13,
DTE,success,0.44,,success,0.13,
DUK,success,0.46,,success,0.14,
DVA,success,0.44,,success,0.13,
DVN,success,0.44,,success,0.13,
DXCM,success,0.46,,success,0.15,
EA,success,0.46,,success,0.12,
EBAY,success,0.44,,success,0.13,
ECL,success,0.44,,success,0.12,
ED,success,0.47,,success,0.17,
EFX,success,0.46,,success,0.14,
EG,success,0.45,,success,0.13,
EIX,success,0.46,,success,0.13,
EL,success,0.45,,success,0.12,
ELV,success,0.45,,success,0.13,
EME,success,0.43,,success,0.12,
EMR,success,0.45,,success,0.12,
EOG,success,0.46,,success,0.13,
EPAM,success,0.46,,success,0.12,
EQIX,success,0.46,,success,0.13,
EQR,success,0.45,,success,0.12,
EQT,success,0.43,,success,0.13,
ERIE,success,0.44,,success,0.13,
ES,success,0.47,,success,0.14,
ESS,success,0.46,,success,0.12,
ETN,success,0.48,,success,0.13,
ETR,success,0.44,,success,0.15,
EVRG,success,0.46,,success,0.12,
EW,success,0.46,,success,0.15,
EXC,success,0.46,,success,0.15,
EXE,success,0.45,,success,0.12,
EXPD,success,0.45,,success,0.13,
EXPE,success,0.47,,success,0.12,
EXR,success,0.44,,success,0.12,
F,success,0.45,,success,0.13,
FANG,success,0.45,,success,0.13,
FAST,success,0.46,,success,0.12,
FCX,success,0.43,,success,0.13,
FDS,success,0.45,,success,0.13,
FDX,success,0.46,,success,0.12,
FE,success,0.46,,success,0.14,
FFIV,success,0.47,,success,0.12,
FICO,success,0.44,,success,0.14,
FIS,success,0.46,,success,0.18,
FISV,success,0.44,,success,0.13,
FITB,success,0.48,,success,0.12,
FIX,success,0.46,,success,0.14,
FOX,success,0.45,,success,0.12,
FOXA,success,0.44,,success,0.12,
FRT,success,0.48,,success,0.15,
FSLR,success,0.45,,success,0.13,
FTNT,success,0.45,,success,0.12,
FTV,success,0.46,,success,0.13,
GD,success,0.51,,success,0.12,
GDDY,success,0.46,,success,0.13,
GE,success,0.45,,success,0.12,
GEHC,success,0.37,,success,0.13,
GEN,success,0.44,,success,0.12,
GEV,success,0.31,,success,0.14,
GILD,success,0.47,,success,0.13,
GIS,success,0.45,,success,0.12,
GL,success,0.45,,success,0.13,
GLW,success,0.47,,success,0.12,
GM,success,0.47,,success,0.13,
GNRC,success,0.47,,success,0.13,
GOOG,success,0.45,,success,0.15,
GOOGL,success,0.45,,success,0.14,
GPC,success,0.44,,success,0.13,
GPN,success,0.46,,success,0.16,
GRMN,success,0.45,,success,0.14,
GS,success,0.44,,success,0.12,
GWW,success,0.46,,success,0.12,
HAL,success,0.46,,success,0.13,
HAS,success,0.46,,success,0.12,
HBAN,success,0.46,,success,0.13,
HCA,success,0.47,,success,0.12,
HD,success,0.44,,success,0.13,
HIG,success,0.46,,success,0.13,
HII,success,0.46,,success,0.13,
HLT,success,0.44,,success,0.14,
HOLX,success,0.47,,success,0.12,
HON,success,0.45,,success,0.13,
HOOD,success,0.44,,success,0.12,
HPE,success,0.45,,success,0.13,
HPQ,success,0.45,,success,0.12,
HRL,success,0.44,,success,0.14,
HSIC,success,0.5,,success,0.13,
HST,success,0.44,,success,0.13,
HSY,success,0.43,,success,0.12,
HUBB,success,0.45,,success,0.12,
HUM,success,0.45,,success,0.12,
HWM,success,0.43,,success,0.13,
IBKR,success,0.44,,success,0.12,
IBM,success,0.46,,success,0.13,
ICE,success,0.49,,success,0.13,
IDXX,success,0.45,,success,0.13,
IEX,success,0.44,,success,0.12,
IFF,success,0.46,,success,0.14,
INCY,success,0.45,,success,0.12,
INTC,success,0.47,,success,0.12,
INTU,success,0.45,,success,0.13,
INVH,success,0.47,,success,0.12,
IP,success,0.46,,success,0.13,
IQV,success,0.43,,success,0.13,
IR,success,0.45,,success,0.12,
IRM,success,0.44,,success,0.15,
ISRG,success,0.44,,success,0.13,
IT,success,0.45,,success,0.14,
ITW,success,0.44,,success,0.14,
IVZ,success,0.44,,success,0.13,
J,success,0.47,,success,0.12,
JBHT,success,0.46,,success,0.14,
JBL,success,0.46,,success,0.12,
JCI,success,0.47,,success,0.13,
JKHY,success,0.45,,success,0.12,
JNJ,success,0.45,,success,0.15,
